Bst.Nr.	Kat	Unterkat	Titel	bes. Wunsch
5130	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Ü̈bersetzung der Heiligen Schrift — Großdruck	*
5131	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Übersetzung der Heiligen Schrift — Großdruck, Band 1	*
5132	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Übersetzung der Heiligen Schrift — Großdruck, Band 2	*
5133	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Übersetzung der Heiligen Schrift — Großdruck, Band 3	*
5134	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Übersetzung der Heiligen Schrift — Großdruck, Band 4	*
5116	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Übersetzung der Heiligen Schrift — kartonierte Ausgabe
5128	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Übersetzung der Heiligen Schrift — kartonierte Taschenausgabe (rot)
5127	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Übersetzung der Heiligen Schrift — kartonierte Taschenausgabe (schwarz)
5108	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Übersetzung der Heiligen Schrift — mit Studienverweisen	*
5115	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Übersetzung der Heiligen Schrift (De-luxe-Ausgabe, rot)	*
5114	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Übersetzung der Heiligen Schrift (De-luxe-Ausgabe, schwarz)	*
5112	Bibel (gedruckt)	Neue-Welt-Übersetzung	Neue-Welt-Übersetzung der Heiligen Schrift (Festeinband)
