Afrikaans	AF
Albanisch	AL
Amerikanische Gebä̈rdensprache	ASL
Amharisch	AM
Arabisch	A
Armenisch	REA
Armenisch (Westarmenisch)	R
Aserbaidschanisch	AJR
Aserbaidschanisch (Kyrillisch)	AJ
Baule	AO
Bemba	CW
Bengali	BE
Bikol	BI
Birmanisch	BU
Bislama	LM
Brasilianische Gebä̈rdensprache	LSB
Bulgarisch	BL
Cebuano	CV
Chewa	CN
Chin, Haka	HK
Chinesisch (Traditionell)	CH
Chinesisch (vereinfachte Schriftzeichen)	CHS
Chinesisch (vereinfachte Schriftzeichen) Pinyin	CHS Pi
Dänisch	D
Deutsch	X
Efik	EF
Englisch	E
Estnisch	ST
Ewe	EW
Fidschi	FN
Finnisch	FI
Franzö̈sisch	F
Ga	GA
Ganda	LU
Georgisch	GE
Gilbertesisch	GB
Griechisch	G
Grö̈nlä̈ndisch	GL
Gujarati	GU
Gun	EG
Haussa	HA
Hebrä̈isch Q	
Hiligaynon	HV
Hindi	HI
Hiri Motu	MO
Igbo	IB
Ilokano	IL
Indonesisch	IN
Islä̈ndisch	IC
Italienisch	I
Italienische Gebä̈rdensprache	ISL
Japanisch	J
Japanische Gebä̈rdensprache	JSL
Kannada	KA
Kaonde	KD
Kasachisch	AZ
Khmer	CB
Kinyaruanda	YW
Kirgisisch	KZ
Kolumbianische Gebä̈rdensprache	LSC
Kongo	KG
Kongo (Monokutuba)	MK
Koreanisch	KO
Kreolisch (Haiti)	CR
Kroatisch	C
Kwanyama	KY
Lettisch	LT
Lingala	LI
Litauisch	L
Lozi	SK
Luba-Lulua	SH
Luena	LV
Luo	LO
Makedonisch	MC
Malagassi	MG
Malayalam	MY
Maltesisch	MT
Marathi	MR
Marschallesisch	MH
Mauritius-Kreolisch	CE
Mexikanische Gebä̈rdensprache	LSM
Mizo	LS
Mossi	MM
Nepali	NP
Niederländisch O	
Niue	NN
Norwegisch	N
Oromo	OA
Ossetisch	OSS
Palauanisch	PU
Pandschabi	PJ
Pangasinan	PN
Papiamento (Curaçao)	PA
Pedi	SE
Persisch	PR
Polnisch	P
Ponapeanisch	PP
Portugiesisch	T
Quechua (Bolivien)	QUB
Quechua (Cuzco)	QU
Rarotonganisch	RA
Rumä̈nisch	M
Rundi	RU
Russisch	U
Russische Gebä̈rdensprache	RSL
Salomonen-Pidgin	SP
Samoanisch	SM
Sango	SG
Schwedisch	Z
Serbisch	SB
Serbisch (lateinische Schrift)	SBO
Seychellen-Kreolisch	SC
Shona	CA
Singhalesisch	SN
Slowakisch	V
Slowenisch	SV
Soko	IS
Sotho	SU
Spanisch	S
Sranantongo	SR
Suaheli	SW
Tadschikisch	TJ
Tagalog	TG
Tahitisch	TH
Tamil	TL
Tatarisch	TAT
Telugu	TU
Tetela	OT
Thai	SI
Tigrinja	TI
Tiv	TV
Tok Pisin	MP
Tonga (Sambia)	CG
Tonganisch	TO
Trukesisch	TE
Tschechisch	B
Tschuwaschisch	CU
Tsonga	TS
Tswana	TN
Tumbuka	TB
Tü̈rkisch	TK
Tuvaluanisch	VL
Twi	TW
Ukrainisch	K
Umbundu	UB
Ungarisch	H
Urdu	UD
Usbekisch	UZ
Venda	VE
Vietnamesisch	VT
Walamo	WL
Wallisianisch	WA
Waray-Waray	SA
Xhosa	XO
Yapesisch	YP
Yoruba	YR
Zande	ZN
Zulu	ZU
